post_id	post_name	status	price_from	price_to
13385	13346-revision-v1	inherit	3500000	3500000
13397	13349-revision-v1	inherit	2	2
13398	13349-revision-v1	inherit	975000	975000
13399	13349-revision-v1	inherit	975000	975000
13400	13351-revision-v1	inherit	1500000	1500000
13401	13346-revision-v1	inherit	3500000	3500000
13420	13351-revision-v1	inherit	1500000	1500000
13435	13356-revision-v1	inherit	900000	900000
13436	casa-deborah	draft	750000	750000
13454	13436-revision-v1	inherit	750000	750000
13456	13346-revision-v1	inherit	3500000	3500000
13457	13351-revision-v1	inherit	1500000	1500000
13458	13356-revision-v1	inherit	900000	900000
13459	13356-revision-v1	inherit	900000	900000
13460	13436-revision-v1	inherit	750000	750000
13461	13436-revision-v1	inherit	750000	750000
13494	title-sep-ibiza-villas-for-sale-page-sep-sitename	draft	1500000	1500000
13495	13494-revision-v1	inherit	1500000	1500000
13496	13494-revision-v1	inherit	1500000	1500000
13497	casa-rosella	draft	1075000	1075000
13498	13497-revision-v1	inherit	1075000	1075000
13499	13497-revision-v1	inherit	1075000	1075000
13500	cana-michel	draft	2900000	2900000
13520	13500-revision-v1	inherit	2900000	2900000
13521	13500-revision-v1	inherit	2900000	2900000
13523	the-towners	draft	2170000	2170000
13524	13523-revision-v1	inherit	2170000	2170000
13546	13523-revision-v1	inherit	2170000	2170000
13547	13523-revision-v1	inherit	2170000	2170000
13548	13500-revision-v1	inherit	2900000	2900000
13549	villa-baougain	draft	2700000	2700000
13525	13523-autosave-v1	inherit	2170000	2170000
13550	13549-revision-v1	inherit	2170000	2170000
13551	13549-revision-v1	inherit	2170000	2170000
13577	13549-revision-v1	inherit	2700000	2700000
13578	villa-delight	draft	1850000	1850000
13595	13549-revision-v1	inherit	2700000	2700000
13596	13578-revision-v1	inherit	1850000	1850000
13597	13578-revision-v1	inherit	1850000	1850000
13598	casa-sagramassa	draft	1750000	1750000
13599	13598-revision-v1	inherit	1750000	1750000
13623	13598-revision-v1	inherit	1750000	1750000
13624	villa-isabelle	draft	2930000	2930000
13625	13624-revision-v1	inherit	1750000	1750000
13644	13624-revision-v1	inherit	2930000	2930000
13645	green-for-sur	draft	699000	699000
13658	13645-revision-v1	inherit	699000	699000
13659	can-flow	draft	2850000	2850000
13681	13659-revision-v1	inherit	2850000	2850000
