post_id	post_name	status	value
13883	13682-revision-v1	inherit	Chalet en venta en Ca´n Cirer
13884	13704-revision-v1	inherit	Chalet en venta en Ca´n Cirer
13903	13659-revision-v1	inherit	Chalet en venta en Nostra Senyora de Jesús
13904	13704-revision-v1	inherit	Chalet en venta en Ca´n Cirer
13905	13738-revision-v1	inherit	Chalet en venta en Platja d´en Bossa
13906	13726-revision-v1	inherit	Chalet en venta en Platja Cala Llenya
13949	13645-revision-v1	inherit	Casa pareada en venta en Urbanización Roca Llisa
13970	13624-revision-v1	inherit	Chalet en venta en Sant Antoni de Portmany
13971	13598-revision-v1	inherit	Chalet en venta en Santa Eulària des Riu
13993	13598-revision-v1	inherit	Chalet en venta en Santa Eulària des Riu
14017	13549-revision-v1	inherit	Chalet en venta en Sant Rafel de sa Creu
14018	13549-autosave-v1	inherit	Chalet en venta en Sant Rafel de sa Creu
14039	13523-revision-v1	inherit	Chalet en venta en Marina Botafoch-Platja de Talamanca
14073	13500-revision-v1	inherit	Chalet en venta en Cala Tarida
14081	13497-revision-v1	inherit	Chalet en venta en Cap Martinet
14110	13494-revision-v1	inherit	Chalet en venta en Sant Llorenç de Balàfia
14129	13436-revision-v1	inherit	Casa adosada en venta en Cala Tarida
14142	13356-revision-v1	inherit	Chalet en venta en Sant Jordi de ses Salines
14166	13351-revision-v1	inherit	Chalet en venta en Marina Botafoch-Platja de Talamanca
14167	13351-revision-v1	inherit	Chalet en venta en Marina Botafoch-Platja de Talamanca
14178	13349-revision-v1	inherit	Atico en venta en Platja Cala Llenya
14181	10903-revision-v1	inherit	If required the buyer can secure an 80,000 (incl IVA) rental guarantee for 5 years. A 6% return on investment. 
14182	10903-revision-v1	inherit	The buyer can secure an 80,000 (incl IVA) rental guarantee for 5 years including management. A 6% return on investment. 
14184	10903-revision-v1	inherit	The buyer can secure an 80,000 (incl IVA) rental guarantee for 3 years including management. A 6% return on investment per annum. 
14185	13349-revision-v1	inherit	Atico en venta en Platja Cala Llenya
14188	13105-revision-v1	inherit	A beautiful villa with amazing sea views and sunsets
14192	10903-revision-v1	inherit	The buyer can secure an 80,000 (incl IVA) rental guarantee for 3 years including management. A 6% return on investment per annum. 
14194	13351-revision-v1	inherit	Chalet en venta en Marina Botafoch-Platja de Talamanca
14195	13351-revision-v1	inherit	Chalet en venta en Marina Botafoch-Platja de Talamanca
14196	13351-revision-v1	inherit	Chalet en venta en Marina Botafoch-Platja de Talamanca
14197	13351-revision-v1	inherit	Chalet en venta en Marina Botafoch-Platja de Talamanca
14199	10903-revision-v1	inherit	The buyer can secure an 80,000 (incl IVA) rental guarantee for 3 years including management. A 5.7% return on investment per annum. 
14201	13497-revision-v1	inherit	Chalet en venta en Cap Martinet
14202	13497-revision-v1	inherit	Chalet en venta en Cap Martinet
14203	13497-revision-v1	inherit	Chalet en venta en Cap Martinet
14205	13349-revision-v1	inherit	Atico en venta en Platja Cala Llenya
14206	13349-revision-v1	inherit	Atico en venta en Platja Cala Llenya
14207	13349-revision-v1	inherit	Atico en venta en Platja Cala Llenya
14209	13356-revision-v1	inherit	Chalet en venta en Sant Jordi de ses Salines
14211	13436-revision-v1	inherit	Casa adosada en venta en Cala Tarida
14212	13436-revision-v1	inherit	Casa adosada en venta en Cala Tarida
14214	13494-revision-v1	inherit	Chalet en venta en Sant Llorenç de Balàfia
14216	13500-revision-v1	inherit	Chalet en venta en Cala Tarida
14217	13523-revision-v1	inherit	Chalet en venta en Marina Botafoch-Platja de Talamanca
14219	13523-revision-v1	inherit	Chalet en venta en Marina Botafoch-Platja de Talamanca
14220	13549-revision-v1	inherit	Chalet en venta en Sant Rafel de sa Creu
14222	13578-revision-v1	inherit	Chalet en venta en Santa Gertrudis de Fruitera
14223	13578-revision-v1	inherit	Chalet en venta en Santa Gertrudis de Fruitera
14225	13598-revision-v1	inherit	Chalet en venta en Santa Eulària des Riu
14227	13624-revision-v1	inherit	Chalet en venta en Sant Antoni de Portmany
14228	13645-revision-v1	inherit	Casa pareada en venta en Urbanización Roca Llisa
14230	13645-revision-v1	inherit	Casa pareada en venta en Urbanización Roca Llisa
14231	13659-revision-v1	inherit	Chalet en venta en Nostra Senyora de Jesús
14233	13659-revision-v1	inherit	Chalet en venta en Nostra Senyora de Jesús
14235	13682-revision-v1	inherit	Chalet en venta en Ca´n Cirer
14237	13704-revision-v1	inherit	Chalet en venta en Ca´n Cirer
14239	13726-revision-v1	inherit	Chalet en venta en Platja Cala Llenya
14241	13738-revision-v1	inherit	Chalet en venta en Platja d´en Bossa
14243	13346-revision-v1	inherit	Chalet en venta en Santa Gertrudis de Fruitera
14270	13346-revision-v1	inherit	Chalet en venta en Santa Gertrudis de Fruitera
14336	2818-revision-v1	inherit	Large villa for groups
14356	2818-revision-v1	inherit	Large villa for groups
14404	2818-revision-v1	inherit	Large villa for groups
14443	12511-revision-v1	inherit	Our Unique Trailer accommodation 
14444	12511-revision-v1	inherit	Our Unique Trailer accommodation 
14446	12511-revision-v1	inherit	Our Unique Trailer accommodation 
14541	10903-revision-v1	inherit	The buyer can secure an 60,000 (incl IVA) rental guarantee for 3 years including management. A 4.28% return on investment per annum. 
14575	13105-revision-v1	inherit	A beautiful villa with amazing sea views and sunsets
14576	13105-revision-v1	inherit	A beautiful villa with amazing sea views and sunsets
14581	13105-revision-v1	inherit	A beautiful villa with amazing sea views and sunsets
14596	2818-revision-v1	inherit	Large villa for groups
14886	2818-revision-v1	inherit	Large villa for groups
17287	2818-revision-v1	inherit	Large villa for groups
17322	2818-revision-v1	inherit	Large villa for groups
17670	2818-revision-v1	inherit	Large villa for groups
17982	2818-revision-v1	inherit	Large villa for groups
17992	2818-revision-v1	inherit	Large villa for groups
18006	2818-revision-v1	inherit	Large villa for groups
18125	stunning-villa-in-playa-den-bossa	draft	Villas near Playa d’en Bossa
18185	18125-revision-v1	inherit	Villas in Playa d’en Bossa | Stunning Ibiza Villa to Rent
18186	18125-revision-v1	inherit	Villas in Playa d’en Bossa | Casa Martha 
18187	18125-revision-v1	inherit	Villas in Playa d’en Bossa
18188	18125-revision-v1	inherit	Villas in Playa d’en Bossa
18189	18125-revision-v1	inherit	Villas in Playa d’en Bossa
18190	18125-revision-v1	inherit	Villas in Playa d’en Bossa
18191	18125-revision-v1	inherit	Villas in Playa d’en Bossa
18192	18125-revision-v1	inherit	Villas in Playa d’en Bossa
18193	18125-revision-v1	inherit	Villas in Playa d’en Bossa
18194	18125-revision-v1	inherit	Villas in Playa d’en Bossa
18195	18125-revision-v1	inherit	Villas in Playa d’en Bossa
